onset	duration	sample	value	event_code	feedback
0	n/a	0	break cnt	break cnt	n/a
46.16	n/a	23080	contrastChangeB2_start	95	n/a
54.486	n/a	27243	contrastTrial_start	5	n/a
56.41	n/a	28205	left_target	8	n/a
57.888	n/a	28944	left_buttonPress	12	smiley_face
58.096	n/a	29048	contrastTrial_start	5	n/a
60	n/a	30000	left_target	8	n/a
61.62	n/a	30810	left_buttonPress	12	smiley_face
61.646	n/a	30823	contrastTrial_start	5	n/a
64.632	n/a	32316	left_target	8	n/a
65.708	n/a	32854	left_buttonPress	12	smiley_face
66.284	n/a	33142	contrastTrial_start	5	n/a
68.194	n/a	34097	right_target	9	n/a
69.838	n/a	34919	contrastTrial_start	5	n/a
69.96	n/a	34980	right_buttonPress	13	non_target
73.948	n/a	36974	left_target	8	n/a
74.76	n/a	37380	left_buttonPress	12	smiley_face
75.604	n/a	37802	contrastTrial_start	5	n/a
79.69	n/a	39845	right_target	9	n/a
80.79	n/a	40395	right_buttonPress	13	smiley_face
81.328	n/a	40664	contrastTrial_start	5	n/a
85.416	n/a	42708	right_target	9	n/a
86.714	n/a	43357	right_buttonPress	13	smiley_face
87.064	n/a	43532	contrastTrial_start	5	n/a
90.052	n/a	45026	right_target	9	n/a
91.692	n/a	45846	contrastTrial_start	5	n/a
91.836	n/a	45918	right_buttonPress	13	non_target
95.784	n/a	47892	left_target	8	n/a
96.948	n/a	48474	left_buttonPress	12	smiley_face
97.434	n/a	48717	contrastTrial_start	5	n/a
100.418	n/a	50209	left_target	8	n/a
101.9	n/a	50950	left_buttonPress	12	smiley_face
102.066	n/a	51033	contrastTrial_start	5	n/a
105.062	n/a	52531	left_target	8	n/a
106.368	n/a	53184	left_buttonPress	12	smiley_face
106.716	n/a	53358	contrastTrial_start	5	n/a
108.62	n/a	54310	left_target	8	n/a
110.262	n/a	55131	contrastTrial_start	5	n/a
113.262	n/a	56631	right_target	9	n/a
114.286	n/a	57143	right_buttonPress	13	smiley_face
114.912	n/a	57456	contrastTrial_start	5	n/a
119	n/a	59500	left_target	8	n/a
120.134	n/a	60067	left_buttonPress	12	smiley_face
120.644	n/a	60322	contrastTrial_start	5	n/a
123.644	n/a	61822	left_target	8	n/a
125.148	n/a	62574	left_buttonPress	12	smiley_face
125.284	n/a	62642	contrastTrial_start	5	n/a
127.184	n/a	63592	left_target	8	n/a
128.818	n/a	64409	contrastTrial_start	5	n/a
130.726	n/a	65363	right_target	9	n/a
132.02	n/a	66010	right_buttonPress	13	smiley_face
132.374	n/a	66187	contrastTrial_start	5	n/a
134.276	n/a	67138	right_target	9	n/a
135.472	n/a	67736	right_buttonPress	13	smiley_face
135.918	n/a	67959	contrastTrial_start	5	n/a
138.916	n/a	69458	right_target	9	n/a
140.236	n/a	70118	right_buttonPress	13	smiley_face
140.566	n/a	70283	contrastTrial_start	5	n/a
142.482	n/a	71241	right_target	9	n/a
144.094	n/a	72047	right_buttonPress	13	smiley_face
144.136	n/a	72068	contrastTrial_start	5	n/a
147.13	n/a	73565	right_target	9	n/a
148.28	n/a	74140	right_buttonPress	13	smiley_face
148.778	n/a	74389	contrastTrial_start	5	n/a
152.868	n/a	76434	left_target	8	n/a
153.96	n/a	76980	left_buttonPress	12	smiley_face
154.538	n/a	77269	contrastTrial_start	5	n/a
158.614	n/a	79307	right_target	9	n/a
159.664	n/a	79832	right_buttonPress	13	smiley_face
160.264	n/a	80132	contrastTrial_start	5	n/a
164.346	n/a	82173	right_target	9	n/a
165.64	n/a	82820	right_buttonPress	13	smiley_face
165.998	n/a	82999	contrastTrial_start	5	n/a
171.504	n/a	85752	break cnt	break cnt	n/a
199.268	n/a	99634	9999	9999	n/a
