onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	n/a	0	break cnt	break cnt	n/a	n/a	n/a
42.746	n/a	21373	surroundSuppB2_start	97	n/a	n/a	n/a
44.28	n/a	22140	fixpoint_ON	4	n/a	n/a	n/a
44.796	2.4	22398	stim_ON	8	1	1	3
47.714	n/a	23857	fixpoint_ON	4	n/a	n/a	n/a
48.224	2.4	24112	stim_ON	8	1	0.6	1
51.132	n/a	25566	fixpoint_ON	4	n/a	n/a	n/a
51.644	2.4	25822	stim_ON	8	1	0.3	2
54.552	n/a	27276	fixpoint_ON	4	n/a	n/a	n/a
55.064	2.4	27532	stim_ON	8	1	0	3
57.972	n/a	28986	fixpoint_ON	4	n/a	n/a	n/a
58.484	2.4	29242	stim_ON	8	1	0	2
61.392	n/a	30696	fixpoint_ON	4	n/a	n/a	n/a
61.904	2.4	30952	stim_ON	8	1	0.3	1
64.812	n/a	32406	fixpoint_ON	4	n/a	n/a	n/a
65.324	2.4	32662	stim_ON	8	1	0.6	3
68.232	n/a	34116	fixpoint_ON	4	n/a	n/a	n/a
68.744	2.4	34372	stim_ON	8	1	1	2
71.652	n/a	35826	fixpoint_ON	4	n/a	n/a	n/a
72.164	2.4	36082	stim_ON	8	1	1	3
75.072	n/a	37536	fixpoint_ON	4	n/a	n/a	n/a
75.584	2.4	37792	stim_ON	8	1	0.6	1
78.492	n/a	39246	fixpoint_ON	4	n/a	n/a	n/a
79.004	2.4	39502	stim_ON	8	1	0.3	2
81.912	n/a	40956	fixpoint_ON	4	n/a	n/a	n/a
82.424	2.4	41212	stim_ON	8	1	0	3
85.332	n/a	42666	fixpoint_ON	4	n/a	n/a	n/a
85.844	2.4	42922	stim_ON	8	0	1	1
88.752	n/a	44376	fixpoint_ON	4	n/a	n/a	n/a
89.262	2.4	44631	stim_ON	8	0	0.6	2
92.172	n/a	46086	fixpoint_ON	4	n/a	n/a	n/a
92.684	2.4	46342	stim_ON	8	0	0.3	3
95.592	n/a	47796	fixpoint_ON	4	n/a	n/a	n/a
96.102	2.4	48051	stim_ON	8	0	0	1
99.012	n/a	49506	fixpoint_ON	4	n/a	n/a	n/a
99.522	2.4	49761	stim_ON	8	1	1	3
102.432	n/a	51216	fixpoint_ON	4	n/a	n/a	n/a
102.942	2.4	51471	stim_ON	8	1	0.6	2
105.852	n/a	52926	fixpoint_ON	4	n/a	n/a	n/a
106.362	2.4	53181	stim_ON	8	1	0.3	1
109.272	n/a	54636	fixpoint_ON	4	n/a	n/a	n/a
109.784	2.4	54892	stim_ON	8	1	0	3
112.692	n/a	56346	fixpoint_ON	4	n/a	n/a	n/a
113.202	2.4	56601	stim_ON	8	1	0	3
116.112	n/a	58056	fixpoint_ON	4	n/a	n/a	n/a
116.622	2.4	58311	stim_ON	8	1	0.3	1
119.532	n/a	59766	fixpoint_ON	4	n/a	n/a	n/a
120.042	2.4	60021	stim_ON	8	1	0.6	2
122.952	n/a	61476	fixpoint_ON	4	n/a	n/a	n/a
123.462	2.4	61731	stim_ON	8	1	1	3
126.372	n/a	63186	fixpoint_ON	4	n/a	n/a	n/a
126.882	2.4	63441	stim_ON	8	1	0	1
129.802	n/a	64901	fixpoint_ON	4	n/a	n/a	n/a
130.312	2.4	65156	stim_ON	8	0	0	2
133.222	n/a	66611	fixpoint_ON	4	n/a	n/a	n/a
133.732	2.4	66866	stim_ON	8	1	0.3	3
136.642	n/a	68321	fixpoint_ON	4	n/a	n/a	n/a
137.152	2.4	68576	stim_ON	8	0	0.3	1
140.062	n/a	70031	fixpoint_ON	4	n/a	n/a	n/a
140.572	2.4	70286	stim_ON	8	1	0.6	2
143.482	n/a	71741	fixpoint_ON	4	n/a	n/a	n/a
143.992	2.4	71996	stim_ON	8	0	0.6	3
146.902	n/a	73451	fixpoint_ON	4	n/a	n/a	n/a
147.412	2.4	73706	stim_ON	8	1	1	1
150.322	n/a	75161	fixpoint_ON	4	n/a	n/a	n/a
150.832	2.4	75416	stim_ON	8	0	1	2
153.742	n/a	76871	fixpoint_ON	4	n/a	n/a	n/a
154.252	2.4	77126	stim_ON	8	1	0	3
157.162	n/a	78581	fixpoint_ON	4	n/a	n/a	n/a
157.672	2.4	78836	stim_ON	8	1	0.3	1
160.582	n/a	80291	fixpoint_ON	4	n/a	n/a	n/a
161.092	2.4	80546	stim_ON	8	1	0.6	2
164	n/a	82000	fixpoint_ON	4	n/a	n/a	n/a
164.512	2.4	82256	stim_ON	8	1	1	3
167.422	n/a	83711	fixpoint_ON	4	n/a	n/a	n/a
167.932	2.4	83966	stim_ON	8	1	1	2
170.84	n/a	85420	fixpoint_ON	4	n/a	n/a	n/a
171.352	2.4	85676	stim_ON	8	1	0.6	1
174.26	n/a	87130	fixpoint_ON	4	n/a	n/a	n/a
174.772	2.4	87386	stim_ON	8	1	0.3	3
177.68	n/a	88840	fixpoint_ON	4	n/a	n/a	n/a
178.19	2.4	89095	stim_ON	8	1	0	2
181.1	n/a	90550	fixpoint_ON	4	n/a	n/a	n/a
181.612	2.4	90806	stim_ON	8	0	1	1
184.53	n/a	92265	fixpoint_ON	4	n/a	n/a	n/a
185.042	2.4	92521	stim_ON	8	0	0.6	2
187.95	n/a	93975	fixpoint_ON	4	n/a	n/a	n/a
188.462	2.4	94231	stim_ON	8	0	0.3	3
191.39	n/a	95695	fixpoint_ON	4	n/a	n/a	n/a
191.9	2.4	95950	stim_ON	8	0	0	1
194.81	n/a	97405	fixpoint_ON	4	n/a	n/a	n/a
195.322	2.4	97661	stim_ON	8	1	1	2
198.23	n/a	99115	fixpoint_ON	4	n/a	n/a	n/a
198.742	2.4	99371	stim_ON	8	1	0.6	3
201.65	n/a	100825	fixpoint_ON	4	n/a	n/a	n/a
202.162	2.4	101081	stim_ON	8	1	0.3	1
205.07	n/a	102535	fixpoint_ON	4	n/a	n/a	n/a
205.582	2.4	102791	stim_ON	8	1	0	2
208.49	n/a	104245	fixpoint_ON	4	n/a	n/a	n/a
209.002	2.4	104501	stim_ON	8	1	0	1
211.91	n/a	105955	fixpoint_ON	4	n/a	n/a	n/a
212.42	2.4	106210	stim_ON	8	1	0.3	3
215.33	n/a	107665	fixpoint_ON	4	n/a	n/a	n/a
215.84	2.4	107920	stim_ON	8	1	0.6	2
218.75	n/a	109375	fixpoint_ON	4	n/a	n/a	n/a
219.26	2.4	109630	stim_ON	8	1	1	1
222.17	n/a	111085	fixpoint_ON	4	n/a	n/a	n/a
222.68	2.4	111340	stim_ON	8	1	1	2
225.59	n/a	112795	fixpoint_ON	4	n/a	n/a	n/a
226.1	2.4	113050	stim_ON	8	1	0.6	3
229.02	n/a	114510	fixpoint_ON	4	n/a	n/a	n/a
