onset	duration	sample	value	event_code	feedback
0	n/a	0	break cnt	break cnt	n/a
28.646	n/a	14323	contrastChangeB2_start	95	n/a
34.702	n/a	17351	contrastTrial_start	5	n/a
37.502	n/a	18751	right_target	9	n/a
39.9	n/a	19950	contrastTrial_start	5	n/a
42.7	n/a	21350	left_target	8	n/a
45.1	n/a	22550	contrastTrial_start	5	n/a
51.1	n/a	25550	right_target	9	n/a
52.4	n/a	26200	right_buttonPress	13	smiley_face
53.5	n/a	26750	contrastTrial_start	5	n/a
59.5	n/a	29750	left_target	8	n/a
60.99	n/a	30495	left_buttonPress	12	smiley_face
61.9	n/a	30950	contrastTrial_start	5	n/a
67.9	n/a	33950	right_target	9	n/a
69.25	n/a	34625	right_buttonPress	13	smiley_face
70.3	n/a	35150	contrastTrial_start	5	n/a
76.3	n/a	38150	left_target	8	n/a
77.43	n/a	38715	left_buttonPress	12	smiley_face
78.7	n/a	39350	contrastTrial_start	5	n/a
83.1	n/a	41550	left_target	8	n/a
84.88	n/a	42440	left_buttonPress	12	smiley_face
85.5	n/a	42750	contrastTrial_start	5	n/a
88.3	n/a	44150	right_target	9	n/a
90.08	n/a	45040	right_buttonPress	13	smiley_face
90.7	n/a	45350	contrastTrial_start	5	n/a
96.7	n/a	48350	right_target	9	n/a
98.36	n/a	49180	right_buttonPress	13	smiley_face
99.1	n/a	49550	contrastTrial_start	5	n/a
103.5	n/a	51750	right_target	9	n/a
105.31	n/a	52655	right_buttonPress	13	smiley_face
105.9	n/a	52950	contrastTrial_start	5	n/a
110.3	n/a	55150	right_target	9	n/a
111.71	n/a	55855	right_buttonPress	13	smiley_face
112.7	n/a	56350	contrastTrial_start	5	n/a
115.5	n/a	57750	right_target	9	n/a
117.32	n/a	58660	right_buttonPress	13	smiley_face
117.9	n/a	58950	contrastTrial_start	5	n/a
122.3	n/a	61150	left_target	8	n/a
123.58	n/a	61790	left_buttonPress	12	smiley_face
124.7	n/a	62350	contrastTrial_start	5	n/a
129.1	n/a	64550	right_target	9	n/a
130.52	n/a	65260	right_buttonPress	13	smiley_face
131.5	n/a	65750	contrastTrial_start	5	n/a
137.5	n/a	68750	right_target	9	n/a
138.878	n/a	69439	right_buttonPress	13	smiley_face
139.9	n/a	69950	contrastTrial_start	5	n/a
144.298	n/a	72149	right_target	9	n/a
145.778	n/a	72889	right_buttonPress	13	smiley_face
146.7	n/a	73350	contrastTrial_start	5	n/a
149.5	n/a	74750	right_target	9	n/a
151.478	n/a	75739	right_buttonPress	13	smiley_face
151.898	n/a	75949	contrastTrial_start	5	n/a
154.698	n/a	77349	left_target	8	n/a
156.628	n/a	78314	left_buttonPress	12	smiley_face
157.098	n/a	78549	contrastTrial_start	5	n/a
159.898	n/a	79949	left_target	8	n/a
161.398	n/a	80699	left_buttonPress	12	smiley_face
162.298	n/a	81149	contrastTrial_start	5	n/a
166.698	n/a	83349	left_target	8	n/a
168.048	n/a	84024	left_buttonPress	12	smiley_face
169.098	n/a	84549	contrastTrial_start	5	n/a
171.898	n/a	85949	left_target	8	n/a
173.528	n/a	86764	left_buttonPress	12	smiley_face
174.298	n/a	87149	contrastTrial_start	5	n/a
178.698	n/a	89349	left_target	8	n/a
180.198	n/a	90099	left_buttonPress	12	smiley_face
181.098	n/a	90549	contrastTrial_start	5	n/a
187.098	n/a	93549	left_target	8	n/a
188.148	n/a	94074	left_buttonPress	12	smiley_face
189.498	n/a	94749	contrastTrial_start	5	n/a
195.498	n/a	97749	left_target	8	n/a
197.218	n/a	98609	left_buttonPress	12	smiley_face
197.898	n/a	98949	contrastTrial_start	5	n/a
199.188	n/a	99594	left_buttonPress	12	non_target
199.758	n/a	99879	left_buttonPress	12	non_target
204.382	n/a	102191	break cnt	break cnt	n/a
232.602	n/a	116301	9999	9999	n/a
