onset	duration	sample	value	event_code	feedback
0	n/a	0	break cnt	break cnt	n/a
56.8	n/a	28400	contrastChangeB2_start	95	n/a
67.092	n/a	33546	contrastTrial_start	5	n/a
69.914	n/a	34957	left_target	8	n/a
71.646	n/a	35823	left_buttonPress	12	smiley_face
72.364	n/a	36182	contrastTrial_start	5	n/a
78.364	n/a	39182	right_target	9	n/a
79.624	n/a	39812	right_buttonPress	13	smiley_face
80.784	n/a	40392	contrastTrial_start	5	n/a
86.784	n/a	43392	left_target	8	n/a
87.344	n/a	43672	left_buttonPress	12	smiley_face
89.204	n/a	44602	contrastTrial_start	5	n/a
95.204	n/a	47602	right_target	9	n/a
96.364	n/a	48182	left_buttonPress	12	sad_face
97.006	n/a	48503	right_buttonPress	13	non_target
97.624	n/a	48812	contrastTrial_start	5	n/a
101.684	n/a	50842	left_buttonPress	12	non_target
102.036	n/a	51018	left_target	8	n/a
104.444	n/a	52222	contrastTrial_start	5	n/a
110.444	n/a	55222	left_target	8	n/a
111.744	n/a	55872	left_buttonPress	12	smiley_face
112.864	n/a	56432	contrastTrial_start	5	n/a
115.674	n/a	57837	right_target	9	n/a
117.574	n/a	58787	right_buttonPress	13	smiley_face
118.094	n/a	59047	contrastTrial_start	5	n/a
122.494	n/a	61247	right_target	9	n/a
124.084	n/a	62042	right_buttonPress	13	smiley_face
124.946	n/a	62473	contrastTrial_start	5	n/a
127.744	n/a	63872	right_target	9	n/a
129.774	n/a	64887	right_buttonPress	13	smiley_face
130.174	n/a	65087	contrastTrial_start	5	n/a
134.574	n/a	67287	left_target	8	n/a
135.564	n/a	67782	left_buttonPress	12	smiley_face
136.996	n/a	68498	contrastTrial_start	5	n/a
142.994	n/a	71497	left_target	8	n/a
144.324	n/a	72162	left_buttonPress	12	smiley_face
145.424	n/a	72712	contrastTrial_start	5	n/a
149.836	n/a	74918	right_target	9	n/a
151.436	n/a	75718	right_buttonPress	13	smiley_face
152.254	n/a	76127	contrastTrial_start	5	n/a
158.264	n/a	79132	right_target	9	n/a
159.914	n/a	79957	right_buttonPress	13	smiley_face
160.694	n/a	80347	contrastTrial_start	5	n/a
165.096	n/a	82548	right_target	9	n/a
167.104	n/a	83552	right_buttonPress	13	smiley_face
167.516	n/a	83758	contrastTrial_start	5	n/a
170.324	n/a	85162	right_target	9	n/a
172.016	n/a	86008	right_buttonPress	13	smiley_face
172.754	n/a	86377	contrastTrial_start	5	n/a
175.554	n/a	87777	right_target	9	n/a
176.834	n/a	88417	right_buttonPress	13	smiley_face
177.974	n/a	88987	contrastTrial_start	5	n/a
180.784	n/a	90392	left_target	8	n/a
181.866	n/a	90933	left_buttonPress	12	smiley_face
183.206	n/a	91603	contrastTrial_start	5	n/a
186.004	n/a	93002	left_target	8	n/a
187.556	n/a	93778	left_buttonPress	12	smiley_face
188.426	n/a	94213	contrastTrial_start	5	n/a
192.824	n/a	96412	left_target	8	n/a
194.574	n/a	97287	left_buttonPress	12	smiley_face
195.246	n/a	97623	contrastTrial_start	5	n/a
198.056	n/a	99028	left_target	8	n/a
200.316	n/a	100158	left_buttonPress	12	smiley_face
200.476	n/a	100238	contrastTrial_start	5	n/a
204.886	n/a	102443	left_target	8	n/a
207.286	n/a	103643	contrastTrial_start	5	n/a
207.294	n/a	103647	left_buttonPress	12	non_target
211.714	n/a	105857	right_target	9	n/a
213.966	n/a	106983	right_buttonPress	13	smiley_face
214.136	n/a	107068	contrastTrial_start	5	n/a
220.146	n/a	110073	right_target	9	n/a
221.806	n/a	110903	right_buttonPress	13	smiley_face
222.566	n/a	111283	contrastTrial_start	5	n/a
228.564	n/a	114282	left_target	8	n/a
230.026	n/a	115013	left_buttonPress	12	smiley_face
230.986	n/a	115493	contrastTrial_start	5	n/a
237.354	n/a	118677	break cnt	break cnt	n/a
263.722	n/a	131861	9999	9999	n/a
