onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	n/a	0	break cnt	break cnt	n/a	n/a	n/a
82.602	n/a	41301	surroundSuppB1_start	93	n/a	n/a	n/a
84.284	n/a	42142	fixpoint_ON	4	n/a	n/a	n/a
84.912	2.4	42456	stim_ON	8	1	0	2
88.872	n/a	44436	fixpoint_ON	4	n/a	n/a	n/a
89.388	2.4	44694	stim_ON	8	1	0.3	3
93.316	n/a	46658	fixpoint_ON	4	n/a	n/a	n/a
93.832	2.4	46916	stim_ON	8	1	0.6	1
97.76	n/a	48880	fixpoint_ON	4	n/a	n/a	n/a
98.276	2.4	49138	stim_ON	8	1	1	2
102.194	n/a	51097	fixpoint_ON	4	n/a	n/a	n/a
102.712	2.4	51356	stim_ON	8	1	0	3
106.638	n/a	53319	fixpoint_ON	4	n/a	n/a	n/a
107.156	2.4	53578	stim_ON	8	1	0.3	2
111.064	n/a	55532	fixpoint_ON	4	n/a	n/a	n/a
111.578	2.4	55789	stim_ON	8	1	0.6	1
115.49	n/a	57745	fixpoint_ON	4	n/a	n/a	n/a
116.006	2.4	58003	stim_ON	8	1	1	3
119.934	n/a	59967	fixpoint_ON	4	n/a	n/a	n/a
120.45	2.4	60225	stim_ON	8	1	0	2
124.372	n/a	62186	fixpoint_ON	4	n/a	n/a	n/a
124.888	2.4	62444	stim_ON	8	1	0.3	3
128.842	n/a	64421	fixpoint_ON	4	n/a	n/a	n/a
129.358	2.4	64679	stim_ON	8	1	0.6	1
133.28	n/a	66640	fixpoint_ON	4	n/a	n/a	n/a
133.796	2.4	66898	stim_ON	8	1	1	2
137.712	n/a	68856	fixpoint_ON	4	n/a	n/a	n/a
138.228	2.4	69114	stim_ON	8	0	0	3
142.15	n/a	71075	fixpoint_ON	4	n/a	n/a	n/a
142.664	2.4	71332	stim_ON	8	0	0.3	1
146.658	n/a	73329	fixpoint_ON	4	n/a	n/a	n/a
147.172	2.4	73586	stim_ON	8	0	0.6	2
151.086	n/a	75543	fixpoint_ON	4	n/a	n/a	n/a
151.602	2.4	75801	stim_ON	8	0	1	3
155.532	n/a	77766	fixpoint_ON	4	n/a	n/a	n/a
156.048	2.4	78024	stim_ON	8	1	1	1
159.972	n/a	79986	fixpoint_ON	4	n/a	n/a	n/a
160.488	2.4	80244	stim_ON	8	1	0.6	3
164.41	n/a	82205	fixpoint_ON	4	n/a	n/a	n/a
164.926	2.4	82463	stim_ON	8	1	0.3	2
168.846	n/a	84423	fixpoint_ON	4	n/a	n/a	n/a
169.364	2.4	84682	stim_ON	8	1	0	1
173.306	n/a	86653	fixpoint_ON	4	n/a	n/a	n/a
173.818	2.4	86909	stim_ON	8	1	1	1
177.734	n/a	88867	fixpoint_ON	4	n/a	n/a	n/a
178.246	2.4	89123	stim_ON	8	1	0.6	2
182.278	n/a	91139	fixpoint_ON	4	n/a	n/a	n/a
182.794	2.4	91397	stim_ON	8	1	0.3	3
186.708	n/a	93354	fixpoint_ON	4	n/a	n/a	n/a
187.224	2.4	93612	stim_ON	8	1	0	1
191.178	n/a	95589	fixpoint_ON	4	n/a	n/a	n/a
191.692	2.4	95846	stim_ON	8	0	0	2
195.616	n/a	97808	fixpoint_ON	4	n/a	n/a	n/a
196.132	2.4	98066	stim_ON	8	1	0	3
200.09	n/a	100045	fixpoint_ON	4	n/a	n/a	n/a
200.606	2.4	100303	stim_ON	8	0	0.3	1
204.552	n/a	102276	fixpoint_ON	4	n/a	n/a	n/a
205.068	2.4	102534	stim_ON	8	1	0.3	2
209.036	n/a	104518	fixpoint_ON	4	n/a	n/a	n/a
209.552	2.4	104776	stim_ON	8	0	0.6	3
213.47	n/a	106735	fixpoint_ON	4	n/a	n/a	n/a
213.986	2.4	106993	stim_ON	8	1	0.6	1
217.966	n/a	108983	fixpoint_ON	4	n/a	n/a	n/a
218.482	2.4	109241	stim_ON	8	0	1	2
222.416	n/a	111208	fixpoint_ON	4	n/a	n/a	n/a
222.932	2.4	111466	stim_ON	8	1	1	3
226.946	n/a	113473	fixpoint_ON	4	n/a	n/a	n/a
227.46	2.4	113730	stim_ON	8	1	1	1
231.41	n/a	115705	fixpoint_ON	4	n/a	n/a	n/a
231.928	2.4	115964	stim_ON	8	1	0.6	2
235.856	n/a	117928	fixpoint_ON	4	n/a	n/a	n/a
236.37	2.4	118185	stim_ON	8	1	0.3	3
240.284	n/a	120142	fixpoint_ON	4	n/a	n/a	n/a
240.798	2.4	120399	stim_ON	8	1	0	1
244.716	n/a	122358	fixpoint_ON	4	n/a	n/a	n/a
245.232	2.4	122616	stim_ON	8	1	1	1
249.154	n/a	124577	fixpoint_ON	4	n/a	n/a	n/a
249.67	2.4	124835	stim_ON	8	1	0.6	3
253.602	n/a	126801	fixpoint_ON	4	n/a	n/a	n/a
254.116	2.4	127058	stim_ON	8	1	0.3	2
258.038	n/a	129019	fixpoint_ON	4	n/a	n/a	n/a
258.554	2.4	129277	stim_ON	8	1	0	1
