onset	duration	sample	value	event_code	feedback
0	n/a	0	break cnt	break cnt	n/a
31.318	n/a	15659	contrastChangeB2_start	95	n/a
37.052	n/a	18526	contrastTrial_start	5	n/a
39.848	n/a	19924	right_target	9	n/a
42.248	n/a	21124	contrastTrial_start	5	n/a
42.358	n/a	21179	right_buttonPress	13	non_target
45.048	n/a	22524	left_target	8	n/a
47.448	n/a	23724	contrastTrial_start	5	n/a
53.448	n/a	26724	right_target	9	n/a
55.318	n/a	27659	right_buttonPress	13	smiley_face
55.848	n/a	27924	contrastTrial_start	5	n/a
61.848	n/a	30924	left_target	8	n/a
64.248	n/a	32124	contrastTrial_start	5	n/a
70.248	n/a	35124	right_target	9	n/a
71.998	n/a	35999	left_buttonPress	12	sad_face
72.648	n/a	36324	contrastTrial_start	5	n/a
78.646	n/a	39323	left_target	8	n/a
81.046	n/a	40523	contrastTrial_start	5	n/a
81.486	n/a	40743	right_buttonPress	13	non_target
84.318	n/a	42159	left_buttonPress	12	non_target
85.446	n/a	42723	left_target	8	n/a
87.846	n/a	43923	contrastTrial_start	5	n/a
90.646	n/a	45323	right_target	9	n/a
93.056	n/a	46528	contrastTrial_start	5	n/a
95.396	n/a	47698	left_buttonPress	12	non_target
99.056	n/a	49528	right_target	9	n/a
99.366	n/a	49683	right_buttonPress	13	smiley_face
101.456	n/a	50728	contrastTrial_start	5	n/a
105.856	n/a	52928	right_target	9	n/a
108.256	n/a	54128	contrastTrial_start	5	n/a
111.946	n/a	55973	left_buttonPress	12	non_target
112.656	n/a	56328	right_target	9	n/a
115.076	n/a	57538	contrastTrial_start	5	n/a
117.876	n/a	58938	right_target	9	n/a
118.826	n/a	59413	left_buttonPress	12	sad_face
120.276	n/a	60138	contrastTrial_start	5	n/a
122.676	n/a	61338	right_buttonPress	13	non_target
124.676	n/a	62338	left_target	8	n/a
127.076	n/a	63538	contrastTrial_start	5	n/a
131.476	n/a	65738	right_target	9	n/a
133.876	n/a	66938	contrastTrial_start	5	n/a
139.876	n/a	69938	right_target	9	n/a
142.276	n/a	71138	contrastTrial_start	5	n/a
146.676	n/a	73338	right_target	9	n/a
149.076	n/a	74538	contrastTrial_start	5	n/a
151.876	n/a	75938	right_target	9	n/a
154.276	n/a	77138	contrastTrial_start	5	n/a
157.076	n/a	78538	left_target	8	n/a
159.476	n/a	79738	contrastTrial_start	5	n/a
160.106	n/a	80053	left_buttonPress	12	non_target
162.276	n/a	81138	left_target	8	n/a
164.676	n/a	82338	contrastTrial_start	5	n/a
169.086	n/a	84543	left_target	8	n/a
171.486	n/a	85743	contrastTrial_start	5	n/a
174.286	n/a	87143	left_target	8	n/a
176.696	n/a	88348	contrastTrial_start	5	n/a
181.096	n/a	90548	left_target	8	n/a
183.496	n/a	91748	contrastTrial_start	5	n/a
189.496	n/a	94748	left_target	8	n/a
191.896	n/a	95948	contrastTrial_start	5	n/a
197.894	n/a	98947	left_target	8	n/a
200.296	n/a	100148	contrastTrial_start	5	n/a
206.782	n/a	103391	break cnt	break cnt	n/a
233.208	n/a	116604	9999	9999	n/a
