onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	n/a	0	break cnt	break cnt	n/a	n/a	n/a
27.758	n/a	13879	surroundSuppB1_start	93	n/a	n/a	n/a
29.304	n/a	14652	fixpoint_ON	4	n/a	n/a	n/a
29.822	2.4	14911	stim_ON	8	1	0	2
32.73	n/a	16365	fixpoint_ON	4	n/a	n/a	n/a
33.24	2.4	16620	stim_ON	8	1	0.3	3
36.15	n/a	18075	fixpoint_ON	4	n/a	n/a	n/a
36.66	2.4	18330	stim_ON	8	1	0.6	1
39.57	n/a	19785	fixpoint_ON	4	n/a	n/a	n/a
40.08	2.4	20040	stim_ON	8	1	1	2
42.99	n/a	21495	fixpoint_ON	4	n/a	n/a	n/a
43.5	2.4	21750	stim_ON	8	1	0	3
46.41	n/a	23205	fixpoint_ON	4	n/a	n/a	n/a
46.92	2.4	23460	stim_ON	8	1	0.3	2
49.83	n/a	24915	fixpoint_ON	4	n/a	n/a	n/a
50.34	2.4	25170	stim_ON	8	1	0.6	1
53.25	n/a	26625	fixpoint_ON	4	n/a	n/a	n/a
53.76	2.4	26880	stim_ON	8	1	1	3
56.67	n/a	28335	fixpoint_ON	4	n/a	n/a	n/a
57.18	2.4	28590	stim_ON	8	1	0	2
60.09	n/a	30045	fixpoint_ON	4	n/a	n/a	n/a
60.6	2.4	30300	stim_ON	8	1	0.3	3
63.51	n/a	31755	fixpoint_ON	4	n/a	n/a	n/a
64.02	2.4	32010	stim_ON	8	1	0.6	1
66.928	n/a	33464	fixpoint_ON	4	n/a	n/a	n/a
67.44	2.4	33720	stim_ON	8	1	1	2
70.348	n/a	35174	fixpoint_ON	4	n/a	n/a	n/a
70.858	2.4	35429	stim_ON	8	0	0	3
73.768	n/a	36884	fixpoint_ON	4	n/a	n/a	n/a
74.28	2.4	37140	stim_ON	8	0	0.3	1
77.188	n/a	38594	fixpoint_ON	4	n/a	n/a	n/a
77.698	2.4	38849	stim_ON	8	0	0.6	2
80.608	n/a	40304	fixpoint_ON	4	n/a	n/a	n/a
81.118	2.4	40559	stim_ON	8	0	1	3
84.028	n/a	42014	fixpoint_ON	4	n/a	n/a	n/a
84.538	2.4	42269	stim_ON	8	1	1	1
87.448	n/a	43724	fixpoint_ON	4	n/a	n/a	n/a
87.958	2.4	43979	stim_ON	8	1	0.6	3
90.868	n/a	45434	fixpoint_ON	4	n/a	n/a	n/a
91.378	2.4	45689	stim_ON	8	1	0.3	2
94.288	n/a	47144	fixpoint_ON	4	n/a	n/a	n/a
94.8	2.4	47400	stim_ON	8	1	0	1
97.708	n/a	48854	fixpoint_ON	4	n/a	n/a	n/a
98.218	2.4	49109	stim_ON	8	1	1	1
101.128	n/a	50564	fixpoint_ON	4	n/a	n/a	n/a
101.638	2.4	50819	stim_ON	8	1	0.6	2
104.548	n/a	52274	fixpoint_ON	4	n/a	n/a	n/a
