onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	n/a	0	break cnt	break cnt	n/a	n/a	n/a
5.546	n/a	2773	surroundSuppB2_start	97	n/a	n/a	n/a
7.076	n/a	3538	fixpoint_ON	4	n/a	n/a	n/a
7.592	2.4	3796	stim_ON	8	1	1	3
10.51	n/a	5255	fixpoint_ON	4	n/a	n/a	n/a
11.02	2.4	5510	stim_ON	8	1	0.6	1
13.93	n/a	6965	fixpoint_ON	4	n/a	n/a	n/a
14.44	2.4	7220	stim_ON	8	1	0.3	2
17.348	n/a	8674	fixpoint_ON	4	n/a	n/a	n/a
17.86	2.4	8930	stim_ON	8	1	0	3
20.77	n/a	10385	fixpoint_ON	4	n/a	n/a	n/a
21.28	2.4	10640	stim_ON	8	1	0	2
24.188	n/a	12094	fixpoint_ON	4	n/a	n/a	n/a
24.7	2.4	12350	stim_ON	8	1	0.3	1
27.608	n/a	13804	fixpoint_ON	4	n/a	n/a	n/a
28.12	2.4	14060	stim_ON	8	1	0.6	3
31.028	n/a	15514	fixpoint_ON	4	n/a	n/a	n/a
31.54	2.4	15770	stim_ON	8	1	1	2
34.458	n/a	17229	fixpoint_ON	4	n/a	n/a	n/a
34.97	2.4	17485	stim_ON	8	1	1	3
37.878	n/a	18939	fixpoint_ON	4	n/a	n/a	n/a
38.39	2.4	19195	stim_ON	8	1	0.6	1
41.298	n/a	20649	fixpoint_ON	4	n/a	n/a	n/a
41.81	2.4	20905	stim_ON	8	1	0.3	2
44.718	n/a	22359	fixpoint_ON	4	n/a	n/a	n/a
45.23	2.4	22615	stim_ON	8	1	0	3
48.138	n/a	24069	fixpoint_ON	4	n/a	n/a	n/a
48.65	2.4	24325	stim_ON	8	0	1	1
51.558	n/a	25779	fixpoint_ON	4	n/a	n/a	n/a
52.07	2.4	26035	stim_ON	8	0	0.6	2
54.978	n/a	27489	fixpoint_ON	4	n/a	n/a	n/a
55.49	2.4	27745	stim_ON	8	0	0.3	3
58.398	n/a	29199	fixpoint_ON	4	n/a	n/a	n/a
58.91	2.4	29455	stim_ON	8	0	0	1
61.818	n/a	30909	fixpoint_ON	4	n/a	n/a	n/a
62.33	2.4	31165	stim_ON	8	1	1	3
65.238	n/a	32619	fixpoint_ON	4	n/a	n/a	n/a
65.75	2.4	32875	stim_ON	8	1	0.6	2
68.658	n/a	34329	fixpoint_ON	4	n/a	n/a	n/a
69.17	2.4	34585	stim_ON	8	1	0.3	1
72.078	n/a	36039	fixpoint_ON	4	n/a	n/a	n/a
72.588	2.4	36294	stim_ON	8	1	0	3
75.498	n/a	37749	fixpoint_ON	4	n/a	n/a	n/a
76.008	2.4	38004	stim_ON	8	1	0	3
78.918	n/a	39459	fixpoint_ON	4	n/a	n/a	n/a
79.428	2.4	39714	stim_ON	8	1	0.3	1
82.338	n/a	41169	fixpoint_ON	4	n/a	n/a	n/a
82.85	2.4	41425	stim_ON	8	1	0.6	2
85.758	n/a	42879	fixpoint_ON	4	n/a	n/a	n/a
86.268	2.4	43134	stim_ON	8	1	1	3
89.178	n/a	44589	fixpoint_ON	4	n/a	n/a	n/a
89.688	2.4	44844	stim_ON	8	1	0	1
92.598	n/a	46299	fixpoint_ON	4	n/a	n/a	n/a
93.108	2.4	46554	stim_ON	8	0	0	2
96.018	n/a	48009	fixpoint_ON	4	n/a	n/a	n/a
96.528	2.4	48264	stim_ON	8	1	0.3	3
99.438	n/a	49719	fixpoint_ON	4	n/a	n/a	n/a
99.948	2.4	49974	stim_ON	8	0	0.3	1
102.858	n/a	51429	fixpoint_ON	4	n/a	n/a	n/a
103.368	2.4	51684	stim_ON	8	1	0.6	2
106.278	n/a	53139	fixpoint_ON	4	n/a	n/a	n/a
106.788	2.4	53394	stim_ON	8	0	0.6	3
109.698	n/a	54849	fixpoint_ON	4	n/a	n/a	n/a
110.208	2.4	55104	stim_ON	8	1	1	1
113.118	n/a	56559	fixpoint_ON	4	n/a	n/a	n/a
113.628	2.4	56814	stim_ON	8	0	1	2
116.538	n/a	58269	fixpoint_ON	4	n/a	n/a	n/a
117.048	2.4	58524	stim_ON	8	1	0	3
119.958	n/a	59979	fixpoint_ON	4	n/a	n/a	n/a
120.468	2.4	60234	stim_ON	8	1	0.3	1
123.378	n/a	61689	fixpoint_ON	4	n/a	n/a	n/a
123.888	2.4	61944	stim_ON	8	1	0.6	2
126.798	n/a	63399	fixpoint_ON	4	n/a	n/a	n/a
127.308	2.4	63654	stim_ON	8	1	1	3
130.228	n/a	65114	fixpoint_ON	4	n/a	n/a	n/a
130.738	2.4	65369	stim_ON	8	1	1	2
133.648	n/a	66824	fixpoint_ON	4	n/a	n/a	n/a
134.158	2.4	67079	stim_ON	8	1	0.6	1
137.068	n/a	68534	fixpoint_ON	4	n/a	n/a	n/a
137.578	2.4	68789	stim_ON	8	1	0.3	3
140.488	n/a	70244	fixpoint_ON	4	n/a	n/a	n/a
140.998	2.4	70499	stim_ON	8	1	0	2
143.908	n/a	71954	fixpoint_ON	4	n/a	n/a	n/a
144.418	2.4	72209	stim_ON	8	0	1	1
147.326	n/a	73663	fixpoint_ON	4	n/a	n/a	n/a
147.838	2.4	73919	stim_ON	8	0	0.6	2
150.746	n/a	75373	fixpoint_ON	4	n/a	n/a	n/a
151.258	2.4	75629	stim_ON	8	0	0.3	3
154.166	n/a	77083	fixpoint_ON	4	n/a	n/a	n/a
154.678	2.4	77339	stim_ON	8	0	0	1
157.586	n/a	78793	fixpoint_ON	4	n/a	n/a	n/a
158.096	2.4	79048	stim_ON	8	1	1	2
161.006	n/a	80503	fixpoint_ON	4	n/a	n/a	n/a
161.518	2.4	80759	stim_ON	8	1	0.6	3
164.426	n/a	82213	fixpoint_ON	4	n/a	n/a	n/a
164.936	2.4	82468	stim_ON	8	1	0.3	1
167.846	n/a	83923	fixpoint_ON	4	n/a	n/a	n/a
168.358	2.4	84179	stim_ON	8	1	0	2
171.266	n/a	85633	fixpoint_ON	4	n/a	n/a	n/a
171.776	2.4	85888	stim_ON	8	1	0	1
174.686	n/a	87343	fixpoint_ON	4	n/a	n/a	n/a
175.196	2.4	87598	stim_ON	8	1	0.3	3
178.106	n/a	89053	fixpoint_ON	4	n/a	n/a	n/a
178.616	2.4	89308	stim_ON	8	1	0.6	2
181.544	n/a	90772	fixpoint_ON	4	n/a	n/a	n/a
182.058	2.4	91029	stim_ON	8	1	1	1
184.966	n/a	92483	fixpoint_ON	4	n/a	n/a	n/a
185.476	2.4	92738	stim_ON	8	1	1	2
188.386	n/a	94193	fixpoint_ON	4	n/a	n/a	n/a
188.896	2.4	94448	stim_ON	8	1	0.6	3
191.816	n/a	95908	fixpoint_ON	4	n/a	n/a	n/a
192.326	2.4	96163	stim_ON	8	1	0.3	1
195.236	n/a	97618	fixpoint_ON	4	n/a	n/a	n/a
195.746	2.4	97873	stim_ON	8	1	0	2
198.656	n/a	99328	fixpoint_ON	4	n/a	n/a	n/a
199.166	2.4	99583	stim_ON	8	0	1	1
202.076	n/a	101038	fixpoint_ON	4	n/a	n/a	n/a
202.586	2.4	101293	stim_ON	8	1	1	2
205.496	n/a	102748	fixpoint_ON	4	n/a	n/a	n/a
206.006	2.4	103003	stim_ON	8	0	0.6	3
208.916	n/a	104458	fixpoint_ON	4	n/a	n/a	n/a
209.426	2.4	104713	stim_ON	8	1	0.6	1
212.336	n/a	106168	fixpoint_ON	4	n/a	n/a	n/a
212.846	2.4	106423	stim_ON	8	0	0.3	2
215.756	n/a	107878	fixpoint_ON	4	n/a	n/a	n/a
216.266	2.4	108133	stim_ON	8	1	0.3	3
219.176	n/a	109588	fixpoint_ON	4	n/a	n/a	n/a
219.686	2.4	109843	stim_ON	8	0	0	1
222.596	n/a	111298	fixpoint_ON	4	n/a	n/a	n/a
223.106	2.4	111553	stim_ON	8	1	0	2
229.034	n/a	114517	break cnt	break cnt	n/a	n/a	n/a
229.976	n/a	114988	9999	9999	n/a	n/a	n/a
