onset	duration	sample	value	event_code	user_answer	correct_answer
0	n/a	0	break cnt	break cnt	n/a	n/a
35.158	n/a	17579	symbolSearch_start	92	n/a	n/a
39.044	n/a	19522	newPage	20	n/a	n/a
50.454	n/a	25227	trialResponse	14	0	0
58.224	n/a	29112	trialResponse	14	1	1
69.246	n/a	34623	trialResponse	14	0	0
113.142	n/a	56571	trialResponse	14	0	0
123.15	n/a	61575	trialResponse	14	0	0
134.504	n/a	67252	trialResponse	14	0	1
141.998	n/a	70999	trialResponse	14	0	0
149.758	n/a	74879	trialResponse	14	1	1
161.654	n/a	80827	trialResponse	14	0	0
161.672	n/a	80836	newPage	20	n/a	n/a
165.951	n/a	82975.5	boundary	boundary	n/a	n/a
